,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
M,18/09/2020 17:24,17/09/2020,WCC,Wesco International Inc,Schulz David S.,"EVP, CFO",P - Purchase,$34.39,2907,28445,11%,"+$99,995",
,16/09/2020 16:25,16/09/2020,GPV,Greenpower Motor Co Inc.,Atkinson Fraser,"CEO, COB, 10%",P - Purchase,$17.63,5000,2809271,0%,"+$88,146",
,16/09/2020 19:58,16/09/2020,NWGI,"Newgioco Group, Inc.",Ciavarella Michele,"CEO, 10%",P - Purchase,$1.60,125000,4583282,3%,"+$200,000",
,17/09/2020 14:13,16/09/2020,CLRO,Clearone Inc,Hakimoglu Zeynep,"Pres, CEO",P - Purchase,$2.49,10030,862841,1%,"+$25,000",
,17/09/2020 14:23,16/09/2020,CZNC,Citizens & Northern Corp,Scovill J Bradley,"Pres, CEO",P - Purchase,$16.91,5000,67456,8%,"+$84,525",
D,17/09/2020 17:23,16/09/2020,LILA,Liberty Latin America Ltd.,Nair Balan,"Pres, CEO",P - Purchase,$8.36,15000,264027,6%,"+$125,385",
,15/09/2020 19:06,15/09/2020,FRG,"Franchise Group, Inc.",Kahn Brian Randall,"CEO, 10%",P - Purchase,$24.99,149785,327531,84%,"+$3,743,127",
D,16/09/2020 17:07,15/09/2020,CTHR,Charles & Colvard Ltd,O'Connell Don,"Pres, CEO",P - Purchase,$0.78,50000,315553,19%,"+$38,800",
,14/09/2020 16:52,14/09/2020,CLDT,Chatham Lodging Trust,Fisher Jeffrey H,"COB, Pres, CEO",P - Purchase,$7.74,45000,866645,5%,"+$348,300",
,14/09/2020 16:54,14/09/2020,LOAN,"Manhattan Bridge Capital, Inc",Ran Assaf,"Pres, CEO, 10%",P - Purchase,$4.04,7500,2580000,0%,"+$30,320",
D,15/09/2020 14:33,14/09/2020,SLB,Schlumberger Limited/nv,Le Peuch Olivier,CEO,P - Purchase,$17.95,25000,191770,15%,"+$448,850",
,15/09/2020 16:05,14/09/2020,HBT,"Hbt Financial, Inc.",Drake Fred L,"COB, CEO, 10%",P - Purchase,$12.10,20000,17312400,0%,"+$242,000",
,15/09/2020 18:56,14/09/2020,CARS,Cars.Com Inc.,Vetter Thomas Alex,"CEO, Pres",P - Purchase,$8.50,12000,743718,2%,"+$102,000",
,15/09/2020 21:47,14/09/2020,AMEH,"Apollo Medical Holdings, Inc.",Sim Kenneth T.,"Exec COB, Co-CEO",P - Purchase,$17.23,6000,19199751,0%,"+$103,372",
,15/09/2020 21:54,14/09/2020,AMEH,"Apollo Medical Holdings, Inc.",Lam Thomas S.,"Pres, Co-CEO",P - Purchase,$17.28,5000,19188429,0%,"+$86,381",
,11/09/2020 11:58,11/09/2020,ANIX,Anixa Biosciences Inc,Kumar Amit,CEO,P - Purchase,$2.11,28000,262000,12%,"+$59,080",
D,11/09/2020 18:34,11/09/2020,WMC,Western Asset Mortgage Capital Corp,Murphy Jennifer,"Dir, Pres, CEO",P - Purchase,$1.96,20000,175000,13%,"+$39,230",
,10/09/2020 16:38,10/09/2020,ATNX,"Athenex, Inc.",Lau Johnson Yiu Nam,"CEO, COB, 10%",P - Purchase,$11.22,10000,4090945,0%,"+$112,200",
